response_id,submitted_at,program,school,volunteer_name,volunteer_email,employer,role_this_year,q1_overall_satisfaction,q2_would_recommend,q3_felt_prepared,q4_volunteer_again,q5_what_went_well,q6_what_could_improve,q7_anything_else,opt_in_contact
JA-24117,2026-05-27T21:48,JA Career Speaker Series,Northrop HS,Priya Marsh,priya.marsh@foundry.com,Foundry Digital Agency,Board/Committee Prospect,3,5,2,,,Classroom management was a struggle and I did not feel supported.,Wonderful. Thank you for the opportunity.,
JA-24118,2026-02-21T12:47,JA Career Speaker Series,Northrop HS,Owen Xu,owen.xu@kestrel.com,Kestrel Engineering,Board/Committee Prospect,5,4,4,Maybe,The students were engaged.,-,Would think about it if there were a shorter commitment option.,Yes
JA-24119,2026-01-25T19:15,JA Inspire,Northrop HS,Hana Whitfield,hana.whitfield@cardinal.com,Cardinal Trust Bank,Event Volunteer,4,5,3,Maybe,The students were engaged.,I never received the training link. Had to wing it.,Is there a way to get involved beyond the classroom? I have the time and I'd like to help.,Yes
JA-24120,2025-11-05T11:12,JA Company Program,Wayne HS,Yolanda Escobar,yolanda.escobar@cardinal.com,Cardinal Trust Bank,Event Volunteer,5,5,5,Yes,The materials were clear.,No comment,Our company is looking for a signature community partnership. Please call me.,Yes
JA-24121,2026-05-07T13:06,JA Company Program,Wayne HS,Bianca Lindqvist,bianca.lindqvist@harrison.com,Harrison & Locke LLP,Classroom Volunteer,5,5,5,Yes,Good structure.,Fine.,N/A,
JA-24122,2025-10-09T13:59,JA Finance Park,Woodside MS,Pierre Xu,pierre.xu@kestrel.com,Kestrel Engineering,Board/Committee Prospect,3,5,2,Maybe,The materials were clear.,More time with the students.,N/A,Yes
JA-24123,2025-12-05T17:31,JA Career Speaker Series,Jefferson MS,Casey Lindqvist,casey.lindqvist@kestrel.com,Kestrel Engineering,Event Volunteer,4,5,5,,Loved the hands-on parts.,Classroom management was a struggle and I did not feel supported.,No comment,Yes
JA-24124,2026-02-24T14:16,JA Career Speaker Series,Woodside MS,Priya Ikeda,priya.ikeda@wabash.com,Wabash Valley Energy,Classroom Volunteer,2,2,2,No,Staff support was excellent.,-,Parking was a nightmare and no one met me at the door.,
JA-24125,2025-09-19T10:57,JA Finance Park,Wayne HS,Greta Reyes,greta.reyes@three.com,Three Rivers Credit Union,Board/Committee Prospect,3,4,3,Maybe,The materials were clear.,Parking was a nightmare and no one met me at the door.,I'd consider it if the sessions were in the afternoon.,Yes
JA-24126,2026-01-17T17:33,JA Career Speaker Series,Shawnee MS,Pierre Ellsworth,pierre.ellsworth@kestrel.com,Kestrel Engineering,Event Volunteer,4,4,5,Maybe,Good structure.,None,"Possibly next year, depending on my travel schedule.",Yes
JA-24127,2025-12-14T21:49,JA Inspire,Wayne HS,Erin Whitfield,erin.whitfield@cardinal.com,Cardinal Trust Bank,Classroom Volunteer,4,5,4,Maybe,Good structure.,,I had a lot of fun and I think the students got a lot out of it.,
JA-24128,2025-10-09T21:05,JA in a Day,Wayne HS,Erin Kowalski,erin.kowalski@wabash.com,Wabash Valley Energy,Event Volunteer,4,4,2,,Staff support was excellent.,-,Loved it. The curriculum was excellent and easy to follow.,Yes
JA-24129,2026-03-06T12:24,JA Inspire,Northrop HS,Marcus Ikeda,marcus.ikeda@harrison.com,Harrison & Locke LLP,Event Volunteer,5,5,2,No,Staff support was excellent.,More time with the students.,Fine.,Yes
JA-24130,2025-12-17T11:31,JA in a Day,Northrop HS,Reggie Okafor,reggie.okafor@allen.com,Allen Mutual Insurance,Site Lead,4,3,3,Maybe,Staff support was excellent.,I was scheduled for a grade level I wasn't prepared for.,The staff were amazing and the students were a joy to work with.,Yes
JA-24131,2026-03-09T19:13,JA Finance Park,Leo JR/SR HS,Yolanda Nunez,yolanda.nunez@northgate.com,Northgate Logistics,Career Speaker,5,5,3,,Loved the hands-on parts.,More time with the students.,Very impressed with the organization and the materials.,Yes
JA-24132,2025-11-14T09:00,JA in a Day,Wayne HS,Jordan Alvarez,jordan.alvarez@kestrel.com,Kestrel Engineering,Event Volunteer,3,4,2,,,More time with the students.,,Yes
JA-24133,2025-10-08T14:56,JA Career Speaker Series,Carroll MS,Reggie Vasquez,reggie.vasquez@northgate.com,Northgate Logistics,Event Volunteer,3,3,2,,Staff support was excellent.,Good program.,I had a lot of fun and I think the students got a lot out of it.,Yes
JA-24134,2026-03-02T13:26,JA Finance Park,Lakeside MS,Alexis Gutierrez,alexis.gutierrez@foundry.com,Foundry Digital Agency,Board/Committee Prospect,4,4,3,,Staff support was excellent.,No comment,,No
JA-24135,2026-02-22T20:17,JA in a Day,Blackhawk MS,Bianca Alvarez,bianca.alvarez@harrison.com,Harrison & Locke LLP,Event Volunteer,4,3,5,Maybe,,No comment,"Great program, great kids, great day all around.",Yes
JA-24136,2026-03-28T19:14,JA in a Day,Woodside MS,Miles Ulrich,miles.ulrich@wabash.com,Wabash Valley Energy,Board/Committee Prospect,3,5,5,Maybe,Loved the hands-on parts.,Parking was a nightmare and no one met me at the door.,Let me know when registration opens and I'll see where things stand.,Yes
JA-24137,2025-12-10T09:15,JA Company Program,Wayne HS,Devon Reyes,devon.reyes@foundry.com,Foundry Digital Agency,Career Speaker,4,3,3,Maybe,The students were engaged.,,"Depends on work, but keep me on the email list.",Yes
JA-24138,2026-01-19T12:23,JA in a Day,Wayne HS,Mei Kowalski,mei.kowalski@maplewood.com,Maplewood Health Partners,Site Lead,5,4,3,Yes,Loved the hands-on parts.,I never received the training link. Had to wing it.,I had a lot of fun and I think the students got a lot out of it.,Yes
JA-24139,2025-11-28T07:59,JA Career Speaker Series,Snider HS,Wes Chandra,wes.chandra@ridgeline.com,Ridgeline Manufacturing,Event Volunteer,4,4,2,,The students were engaged.,No comment,Good,Yes
JA-24140,2026-01-18T17:04,JA in a Day,Lakeside MS,Pierre Ikeda,pierre.ikeda@three.com,Three Rivers Credit Union,Classroom Volunteer,4,4,5,,The materials were clear.,Good program.,n/a,
JA-24141,2026-04-23T11:36,JA Company Program,Snider HS,Devon Zabel,devon.zabel@three.com,Three Rivers Credit Union,Career Speaker,1,2,2,Maybe,The students were engaged.,I was scheduled for a grade level I wasn't prepared for.,Too much content for the time allotted. Felt rushed the whole time.,
JA-24142,2025-11-13T15:59,JA BizTown,Blackhawk MS,Colin Thibodeaux,colin.thibodeaux@cardinal.com,Cardinal Trust Bank,Career Speaker,3,4,4,Maybe,The materials were clear.,Nothing - it was well organized.,"Possibly next year, depending on my travel schedule.",No
JA-24143,2025-09-10T19:41,JA Finance Park,Memorial Park MS,Brett Yeager,brett.yeager@maplewood.com,Maplewood Health Partners,Career Speaker,5,4,2,,Staff support was excellent.,Good program.,Fine.,Yes
JA-24144,2026-04-18T07:04,JA in a Day,Shawnee MS,Bianca Xu,bianca.xu@northgate.com,Northgate Logistics,Classroom Volunteer,3,4,3,Maybe,Loved the hands-on parts.,More time with the students.,"Possibly next year, depending on my travel schedule.",Yes
JA-24145,2026-04-17T16:53,JA Inspire,Woodside MS,Greta Whitfield,greta.whitfield@kestrel.com,Kestrel Engineering,Site Lead,5,5,4,,Good structure.,,,Yes
JA-24146,2026-03-31T20:37,JA Company Program,Shawnee MS,Yolanda Lindqvist,yolanda.lindqvist@maplewood.com,Maplewood Health Partners,Site Lead,4,5,3,Yes,Staff support was excellent.,No comment,Happy to be a site lead next time if you need one.,Yes
JA-24147,2025-11-20T14:10,JA in a Day,Shawnee MS,Bianca Marsh,bianca.marsh@allen.com,Allen Mutual Insurance,Board/Committee Prospect,4,4,4,,Staff support was excellent.,No comment,Good program.,
JA-24148,2026-02-15T07:53,JA Inspire,Jefferson MS,Mei Vasquez,mei.vasquez@kestrel.com,Kestrel Engineering,Board/Committee Prospect,1,1,2,No,The students were engaged.,I was scheduled for a grade level I wasn't prepared for.,I never received the training link. Had to wing it.,
JA-24149,2026-01-18T18:33,JA in a Day,Shawnee MS,Devon Kowalski,devon.kowalski@cardinal.com,Cardinal Trust Bank,Event Volunteer,4,4,3,Maybe,The materials were clear.,,"If you're ever short someone last minute, I might be able to fill in.",Yes
JA-24150,2026-05-03T07:49,JA BizTown,Carroll MS,Ibrahim Ashby,ibrahim.ashby@allen.com,Allen Mutual Insurance,Event Volunteer,5,3,2,Yes,The students were engaged.,More time with the students.,-,
JA-24151,2025-09-18T08:08,JA Career Speaker Series,Homestead HS,Renee Petrosyan,renee.petrosyan@maplewood.com,Maplewood Health Partners,Event Volunteer,3,5,4,Yes,Good structure.,None,Would think about it if there were a shorter commitment option.,Yes
JA-24152,2026-06-17T11:33,JA BizTown,Snider HS,Brett Vasquez,brett.vasquez@three.com,Three Rivers Credit Union,Board/Committee Prospect,5,5,4,Yes,The students were engaged.,I never received the training link. Had to wing it.,Put me down for all three sessions next year. This is the best thing we do.,Yes
JA-24153,2026-05-03T09:59,JA BizTown,Memorial Park MS,Aisha Ikeda,aisha.ikeda@ridgeline.com,Ridgeline Manufacturing,Event Volunteer,4,5,3,Yes,The materials were clear.,Fine.,Very impressed with the organization and the materials.,Yes
JA-24154,2026-01-11T18:55,JA Company Program,Blackhawk MS,Erin Ulrich,erin.ulrich@foundry.com,Foundry Digital Agency,Site Lead,5,4,4,Maybe,Good structure.,,Maybe in the spring - fall is hard for me.,Yes
JA-24155,2025-10-02T18:26,JA BizTown,Carroll MS,Bianca Thibodeaux,bianca.thibodeaux@bluffton.com,Bluffton Steel Works,Classroom Volunteer,3,1,2,,,Parking was a nightmare and no one met me at the door.,Too much content for the time allotted. Felt rushed the whole time.,Yes
JA-24156,2025-11-08T10:16,JA Finance Park,Wayne HS,Naomi Fowler,naomi.fowler@maplewood.com,Maplewood Health Partners,Board/Committee Prospect,2,2,1,No,The materials were clear.,Parking was a nightmare and no one met me at the door.,Too much content for the time allotted. Felt rushed the whole time.,Yes
JA-24157,2026-02-15T07:50,JA Career Speaker Series,Blackhawk MS,Mei Dupree,mei.dupree@three.com,Three Rivers Credit Union,Board/Committee Prospect,5,5,5,Maybe,,The materials arrived late and I had to improvise the first hour.,I would love to come back. Sign me up for the spring session.,Yes
JA-24158,2026-02-19T14:57,JA Company Program,Memorial Park MS,Devon Marsh,devon.marsh@cardinal.com,Cardinal Trust Bank,Event Volunteer,4,4,3,Maybe,The students were engaged.,I never received the training link. Had to wing it.,I had a lot of fun and I think the students got a lot out of it.,
JA-24159,2026-02-14T11:59,JA in a Day,Wayne HS,Sasha Escobar,sasha.escobar@summit.com,Summit Financial Group,Site Lead,3,3,3,Maybe,The materials were clear.,,Too much content for the time allotted. Felt rushed the whole time.,
JA-24160,2026-01-27T09:04,JA in a Day,Woodside MS,Priya Ulrich,priya.ulrich@maplewood.com,Maplewood Health Partners,Board/Committee Prospect,3,3,2,,The materials were clear.,None,N/A,No
JA-24161,2026-01-28T20:52,JA Inspire,Wayne HS,Andre Ulrich,andre.ulrich@foundry.com,Foundry Digital Agency,Board/Committee Prospect,4,5,3,Yes,The students were engaged.,The materials arrived late and I had to improvise the first hour.,Please put me on the list for next year - same school if possible.,
JA-24162,2026-06-27T15:20,JA BizTown,Snider HS,Yolanda Thibodeaux,yolanda.thibodeaux@allen.com,Allen Mutual Insurance,Board/Committee Prospect,5,3,5,Maybe,Loved the hands-on parts.,Nothing to add,Very impressed with the organization and the materials.,No
JA-24163,2026-01-07T17:21,JA BizTown,Leo JR/SR HS,Ibrahim Quintero,ibrahim.quintero@allen.com,Allen Mutual Insurance,Site Lead,4,5,2,Yes,,No comment,Loved it. The curriculum was excellent and easy to follow.,Yes
JA-24164,2026-04-25T11:14,JA BizTown,Blackhawk MS,Marcus Marsh,marcus.marsh@bluffton.com,Bluffton Steel Works,Career Speaker,3,3,4,Maybe,The materials were clear.,I never received the training link. Had to wing it.,Loved it. The curriculum was excellent and easy to follow.,
JA-24165,2026-04-26T10:48,JA in a Day,Northrop HS,Reggie Devries,reggie.devries@bluffton.com,Bluffton Steel Works,Classroom Volunteer,5,5,5,,The students were engaged.,Good,This was such a rewarding experience. The students were wonderful.,
JA-24166,2025-11-21T08:46,JA Company Program,Carroll MS,Pierre Thibodeaux,pierre.thibodeaux@harrison.com,Harrison & Locke LLP,Classroom Volunteer,3,3,5,,The materials were clear.,More time with the students.,This was such a rewarding experience. The students were wonderful.,No
JA-24167,2025-09-07T09:32,JA BizTown,Homestead HS,Renee Ulrich,renee.ulrich@three.com,Three Rivers Credit Union,Site Lead,2,2,1,No,Loved the hands-on parts.,None,Parking was a nightmare and no one met me at the door.,Yes
JA-24168,2025-12-19T20:28,JA in a Day,Snider HS,Sasha Fowler,sasha.fowler@northgate.com,Northgate Logistics,Career Speaker,4,4,3,Yes,The students were engaged.,I never received the training link. Had to wing it.,What a great day. The students asked wonderful questions.,Yes
JA-24169,2025-10-26T12:30,JA in a Day,Woodside MS,Jordan Boone,jordan.boone@summit.com,Summit Financial Group,Career Speaker,4,5,3,Yes,,"Send the deck earlier. Also, my firm would consider underwriting a school.",Loved it. The curriculum was excellent and easy to follow.,Yes
JA-24170,2026-03-15T11:57,JA Finance Park,Leo JR/SR HS,Devon Nunez,devon.nunez@bluffton.com,Bluffton Steel Works,Event Volunteer,4,3,3,,Staff support was excellent.,The materials arrived late and I had to improvise the first hour.,What a great day. The students asked wonderful questions.,No
JA-24171,2026-06-24T17:24,JA Career Speaker Series,Shawnee MS,Ibrahim Chandra,ibrahim.chandra@maplewood.com,Maplewood Health Partners,Site Lead,4,3,3,,Loved the hands-on parts.,Nothing to add,"If you're ever short someone last minute, I might be able to fill in.",Yes
JA-24172,2026-03-26T15:38,JA Inspire,Jefferson MS,Pierre Reyes,pierre.reyes@bluffton.com,Bluffton Steel Works,Site Lead,3,4,5,Maybe,Good structure.,None,What a great day. The students asked wonderful questions.,Yes
JA-24173,2026-05-19T09:40,JA BizTown,Carroll MS,Yolanda Quintero,yolanda.quintero@summit.com,Summit Financial Group,Classroom Volunteer,3,5,4,No,The materials were clear.,Nothing - it was well organized.,Wonderful. Thank you for the opportunity.,No
JA-24174,2026-06-02T20:24,JA BizTown,Leo JR/SR HS,Talia Sandoval,talia.sandoval@bluffton.com,Bluffton Steel Works,Event Volunteer,5,5,2,,,Good,N/A,Yes
JA-24175,2026-06-06T15:59,JA BizTown,Shawnee MS,Reggie Lindqvist,reggie.lindqvist@wabash.com,Wabash Valley Energy,Event Volunteer,5,3,2,Maybe,,More time with the students.,I had a lot of fun and I think the students got a lot out of it.,Yes
JA-24176,2026-02-21T15:33,JA Career Speaker Series,Snider HS,Hana Lindqvist,hana.lindqvist@allen.com,Allen Mutual Insurance,Event Volunteer,4,5,4,Yes,The students were engaged.,,Please add me to your speaker list - I can do a career day at any school.,Yes
JA-24177,2026-04-04T20:14,JA Inspire,Woodside MS,Simone Ellsworth,simone.ellsworth@bluffton.com,Bluffton Steel Works,Classroom Volunteer,3,5,5,No,Loved the hands-on parts.,Nothing - it was well organized.,What a great day. The students asked wonderful questions.,Yes
JA-24178,2025-10-08T17:28,JA Inspire,Jefferson MS,Devon Ulrich,devon.ulrich@kestrel.com,Kestrel Engineering,Board/Committee Prospect,2,2,3,No,Good structure.,n/a,Classroom management was a struggle and I did not feel supported.,
JA-24179,2025-12-14T16:13,JA Career Speaker Series,Blackhawk MS,Miles Thibodeaux,miles.thibodeaux@ridgeline.com,Ridgeline Manufacturing,Event Volunteer,4,5,3,Yes,Good structure.,Better printed materials. I'll still be back either way.,Really well run. Thank you for everything you do.,Yes
JA-24180,2026-05-27T08:59,JA Inspire,Homestead HS,Wes Xu,wes.xu@wabash.com,Wabash Valley Energy,Classroom Volunteer,4,3,5,Yes,The students were engaged.,The materials arrived late and I had to improvise the first hour.,What a great day. The students asked wonderful questions.,Yes
JA-24181,2025-10-16T21:49,JA Career Speaker Series,Blackhawk MS,Hana Petrosyan,hana.petrosyan@three.com,Three Rivers Credit Union,Classroom Volunteer,4,3,2,Maybe,Staff support was excellent.,Fine.,,Yes
JA-24182,2026-06-24T20:28,JA Company Program,Memorial Park MS,Colin Hollis,colin.hollis@harrison.com,Harrison & Locke LLP,Board/Committee Prospect,4,4,5,Maybe,Staff support was excellent.,Good program.,What a great day. The students asked wonderful questions.,
JA-24183,2026-04-27T21:37,JA in a Day,Carroll MS,Nate Kowalski,nate.kowalski@northgate.com,Northgate Logistics,Classroom Volunteer,5,5,5,Yes,The students were engaged.,"Send the deck earlier. Also, my firm would consider underwriting a school.",The staff were amazing and the students were a joy to work with.,Yes
JA-24184,2025-10-15T08:08,JA Career Speaker Series,Shawnee MS,Tomas Lindqvist,tomas.lindqvist@summit.com,Summit Financial Group,Event Volunteer,3,4,3,,The materials were clear.,The materials arrived late and I had to improvise the first hour.,Very impressed with the organization and the materials.,
JA-24185,2025-11-08T07:29,JA BizTown,Memorial Park MS,Tomas Hollis,tomas.hollis@northgate.com,Northgate Logistics,Site Lead,5,4,3,Maybe,The materials were clear.,The materials arrived late and I had to improvise the first hour.,I had a lot of fun and I think the students got a lot out of it.,
JA-24186,2025-11-04T17:31,JA in a Day,Woodside MS,Simone Finnegan,simone.finnegan@maplewood.com,Maplewood Health Partners,Classroom Volunteer,4,4,5,Maybe,Loved the hands-on parts.,Classroom management was a struggle and I did not feel supported.,Loved it. The curriculum was excellent and easy to follow.,Yes
JA-24187,2025-12-28T07:40,JA Finance Park,Lakeside MS,Renee Finnegan,renee.finnegan@harrison.com,Harrison & Locke LLP,Site Lead,5,5,4,Maybe,Loved the hands-on parts.,Classroom management was a struggle and I did not feel supported.,Is there a way to get involved beyond the classroom? I have the time and I'd like to help.,
JA-24188,2026-03-06T16:50,JA Company Program,Wayne HS,Renee Gutierrez,renee.gutierrez@three.com,Three Rivers Credit Union,Site Lead,4,4,5,Maybe,Loved the hands-on parts.,None,Fantastic program. The kids were so engaged the entire time.,Yes
JA-24189,2026-02-28T20:26,JA Company Program,Shawnee MS,Sasha Marsh,sasha.marsh@bluffton.com,Bluffton Steel Works,Career Speaker,5,5,5,Yes,,Better printed materials. I'll still be back either way.,-,
JA-24190,2026-06-11T10:07,JA Career Speaker Series,Snider HS,Dana Ikeda,dana.ikeda@maplewood.com,Maplewood Health Partners,Board/Committee Prospect,4,5,3,Yes,Loved the hands-on parts.,,I chair our United Way campaign and would like to discuss a larger partnership.,No
JA-24191,2025-12-04T19:40,JA Finance Park,Shawnee MS,Owen Sandoval,owen.sandoval@ridgeline.com,Ridgeline Manufacturing,Classroom Volunteer,3,4,5,Yes,The students were engaged.,Good program.,I'd consider it if the sessions were in the afternoon.,
JA-24192,2026-03-24T20:02,JA in a Day,Wayne HS,Andre Alvarez,andre.alvarez@harrison.com,Harrison & Locke LLP,Site Lead,5,3,4,Maybe,Good structure.,I never received the training link. Had to wing it.,"Great program, great kids, great day all around.",Yes
JA-24193,2025-10-30T09:22,JA Company Program,Shawnee MS,Bianca Ulrich,bianca.ulrich@northgate.com,Northgate Logistics,Career Speaker,1,1,2,Maybe,,,Parking was a nightmare and no one met me at the door.,No
JA-24194,2025-12-11T17:21,JA Career Speaker Series,Leo JR/SR HS,Erin Quintero,erin.quintero@cardinal.com,Cardinal Trust Bank,Event Volunteer,5,5,3,Maybe,,-,This was such a rewarding experience. The students were wonderful.,Yes
JA-24195,2025-11-16T17:18,JA Career Speaker Series,Northrop HS,Tomas Vasquez,tomas.vasquez@summit.com,Summit Financial Group,Board/Committee Prospect,4,3,3,,,No comment,What a great day. The students asked wonderful questions.,
JA-24196,2026-01-30T13:37,JA Inspire,Woodside MS,Lucia Fowler,lucia.fowler@maplewood.com,Maplewood Health Partners,Career Speaker,4,4,2,Yes,,Fine.,N/A,
JA-24197,2025-11-27T21:38,JA Career Speaker Series,Shawnee MS,Casey Alvarez,casey.alvarez@ridgeline.com,Ridgeline Manufacturing,Career Speaker,2,2,3,No,,No comment,Parking was a nightmare and no one met me at the door.,Yes
JA-24198,2026-01-11T11:33,JA Career Speaker Series,Lakeside MS,Marcus Sandoval,marcus.sandoval@wabash.com,Wabash Valley Energy,Site Lead,5,5,5,Yes,,Better printed materials. I'll still be back either way.,Fine.,
JA-24199,2025-12-24T11:53,JA Finance Park,Memorial Park MS,Greta Brennan,greta.brennan@three.com,Three Rivers Credit Union,Event Volunteer,3,3,2,,Good structure.,Classroom management was a struggle and I did not feel supported.,The staff were amazing and the students were a joy to work with.,Yes
JA-24200,2026-03-31T17:03,JA Career Speaker Series,Shawnee MS,Erin Castellano,erin.castellano@harrison.com,Harrison & Locke LLP,Career Speaker,4,5,5,,Good structure.,,Wonderful. Thank you for the opportunity.,Yes
JA-24201,2025-10-19T17:15,JA Company Program,Woodside MS,Jordan Devries,jordan.devries@three.com,Three Rivers Credit Union,Board/Committee Prospect,3,5,4,Yes,Good structure.,Nothing to add,Would think about it if there were a shorter commitment option.,Yes
JA-24202,2025-11-27T18:33,JA Company Program,Snider HS,Erin Devries,erin.devries@kestrel.com,Kestrel Engineering,Site Lead,5,5,5,Maybe,Good structure.,More time with the students.,Fantastic program. The kids were so engaged the entire time.,Yes
JA-24203,2026-05-27T12:28,JA in a Day,Woodside MS,Nate Ellsworth,nate.ellsworth@three.com,Three Rivers Credit Union,Site Lead,5,5,4,Maybe,Loved the hands-on parts.,N/A,This was such a rewarding experience. The students were wonderful.,Yes
JA-24204,2025-10-12T19:56,JA Career Speaker Series,Shawnee MS,Miles Devries,miles.devries@summit.com,Summit Financial Group,Board/Committee Prospect,4,5,5,Yes,The students were engaged.,I was scheduled for a grade level I wasn't prepared for.,I want to sponsor a class next year. What does that cost?,
JA-24205,2026-02-10T11:58,JA BizTown,Lakeside MS,Jordan Zabel,jordan.zabel@foundry.com,Foundry Digital Agency,Event Volunteer,3,5,3,Yes,Loved the hands-on parts.,Good,Best volunteer experience I've had in years.,Yes
JA-24206,2026-04-11T10:57,JA Inspire,Carroll MS,Casey Escobar,casey.escobar@allen.com,Allen Mutual Insurance,Event Volunteer,3,4,3,,Loved the hands-on parts.,More time with the students.,,Yes
JA-24207,2026-01-10T11:43,JA BizTown,Blackhawk MS,Andre Nunez,andre.nunez@bluffton.com,Bluffton Steel Works,Board/Committee Prospect,5,3,5,Maybe,Good structure.,,Excellent experience from start to finish.,Yes
JA-24208,2026-04-21T19:37,JA in a Day,Northrop HS,Naomi Chandra,naomi.chandra@three.com,Three Rivers Credit Union,Event Volunteer,3,5,2,No,Staff support was excellent.,-,Very impressed with the organization and the materials.,Yes
JA-24209,2026-01-01T20:19,JA Career Speaker Series,Snider HS,Lucia Okafor,lucia.okafor@kestrel.com,Kestrel Engineering,Site Lead,4,5,4,Yes,The students were engaged.,,Is there a way to get involved beyond the classroom? I have the time and I'd like to help.,
JA-24210,2026-02-25T21:53,JA Finance Park,Shawnee MS,Reggie Zabel,reggie.zabel@allen.com,Allen Mutual Insurance,Career Speaker,4,3,4,Yes,,Nothing - it was well organized.,Really well run. Thank you for everything you do.,
JA-24211,2026-04-04T15:03,JA Company Program,Northrop HS,Grant Yeager,grant.yeager@ridgeline.com,Ridgeline Manufacturing,Classroom Volunteer,3,4,5,Yes,The materials were clear.,Classroom management was a struggle and I did not feel supported.,Wonderful. Thank you for the opportunity.,Yes
JA-24212,2025-12-23T15:48,JA Finance Park,Northrop HS,Owen Jarrett,owen.jarrett@northgate.com,Northgate Logistics,Site Lead,1,2,2,Maybe,The students were engaged.,-,I never received the training link. Had to wing it.,No
JA-24213,2026-04-03T09:00,JA in a Day,Shawnee MS,Mei Finnegan,mei.finnegan@maplewood.com,Maplewood Health Partners,Career Speaker,5,5,2,Maybe,Staff support was excellent.,,Very impressed with the organization and the materials.,Yes
JA-24214,2025-12-24T14:00,JA Inspire,Wayne HS,Andre Lindqvist,andre.lindqvist@bluffton.com,Bluffton Steel Works,Event Volunteer,4,4,3,,The students were engaged.,None,-,
JA-24215,2026-03-29T14:41,JA in a Day,Homestead HS,Marcus Whitfield,marcus.whitfield@three.com,Three Rivers Credit Union,Career Speaker,5,3,5,Maybe,The materials were clear.,Too much content for the time allotted. Felt rushed the whole time.,Would think about it if there were a shorter commitment option.,Yes
JA-24216,2025-11-25T08:48,JA BizTown,Northrop HS,Naomi Devries,naomi.devries@allen.com,Allen Mutual Insurance,Board/Committee Prospect,4,5,4,,Staff support was excellent.,Fine.,"Depends on work, but keep me on the email list.",Yes
JA-24217,2026-06-25T20:14,JA Finance Park,Blackhawk MS,Ibrahim Yeager,ibrahim.yeager@bluffton.com,Bluffton Steel Works,Event Volunteer,3,5,3,,Staff support was excellent.,None,Nothing to add,Yes
JA-24218,2026-04-02T20:03,JA Company Program,Lakeside MS,Erin Dupree,erin.dupree@summit.com,Summit Financial Group,Classroom Volunteer,5,3,2,,Staff support was excellent.,No comment,,Yes
JA-24219,2026-06-06T18:43,JA Career Speaker Series,Leo JR/SR HS,Devon Thibodeaux,devon.thibodeaux@cardinal.com,Cardinal Trust Bank,Board/Committee Prospect,3,3,3,,Loved the hands-on parts.,The materials arrived late and I had to improvise the first hour.,Reach out in a few months and I might have more capacity then.,Yes
JA-24220,2025-12-15T14:05,JA Company Program,Leo JR/SR HS,Mei Whitfield,mei.whitfield@maplewood.com,Maplewood Health Partners,Career Speaker,5,4,5,Maybe,The materials were clear.,The materials arrived late and I had to improvise the first hour.,Good,No
JA-24221,2025-09-14T07:02,JA BizTown,Snider HS,Mei Yeager,mei.yeager@northgate.com,Northgate Logistics,Event Volunteer,3,5,5,,The materials were clear.,Good,"Depends on work, but keep me on the email list.",
JA-24222,2026-04-07T15:53,JA BizTown,Wayne HS,Ibrahim Kowalski,ibrahim.kowalski@allen.com,Allen Mutual Insurance,Classroom Volunteer,4,5,4,Yes,Good structure.,None,Happy to be a site lead next time if you need one.,
JA-24223,2026-04-19T12:07,JA Company Program,Shawnee MS,Aisha Brennan,aisha.brennan@three.com,Three Rivers Credit Union,Site Lead,3,5,4,,The materials were clear.,No comment,Excellent experience from start to finish.,
JA-24224,2026-06-12T10:33,JA BizTown,Northrop HS,Naomi Whitfield,naomi.whitfield@ridgeline.com,Ridgeline Manufacturing,Career Speaker,5,4,2,Yes,Staff support was excellent.,Nothing to add,Very impressed with the organization and the materials.,Yes
JA-24225,2026-02-23T10:52,JA BizTown,Woodside MS,Aisha Jarrett,aisha.jarrett@maplewood.com,Maplewood Health Partners,Classroom Volunteer,4,5,3,Yes,Loved the hands-on parts.,"Send the deck earlier. Also, my firm would consider underwriting a school.",None,Yes
JA-24226,2025-10-10T13:23,JA Finance Park,Leo JR/SR HS,Priya Dupree,priya.dupree@wabash.com,Wabash Valley Energy,Classroom Volunteer,3,1,1,Maybe,Good structure.,,Parking was a nightmare and no one met me at the door.,Yes
JA-24227,2025-10-16T14:40,JA Career Speaker Series,Shawnee MS,Owen Petrosyan,owen.petrosyan@ridgeline.com,Ridgeline Manufacturing,Board/Committee Prospect,3,4,5,Yes,Staff support was excellent.,Parking was a nightmare and no one met me at the door.,What a great day. The students asked wonderful questions.,
JA-24228,2026-05-15T19:18,JA Finance Park,Woodside MS,Naomi Jarrett,naomi.jarrett@cardinal.com,Cardinal Trust Bank,Event Volunteer,4,4,2,,,I never received the training link. Had to wing it.,Nothing to add,Yes
JA-24229,2026-05-10T20:40,JA in a Day,Memorial Park MS,Alexis Ikeda,alexis.ikeda@foundry.com,Foundry Digital Agency,Career Speaker,4,3,2,Yes,Good structure.,I never received the training link. Had to wing it.,Fine.,Yes
JA-24230,2026-02-25T14:22,JA Finance Park,Shawnee MS,Tomas Zabel,tomas.zabel@harrison.com,Harrison & Locke LLP,Event Volunteer,3,1,3,No,,Too much content for the time allotted. Felt rushed the whole time.,Classroom management was a struggle and I did not feel supported.,No
JA-24231,2025-11-30T17:38,JA BizTown,Leo JR/SR HS,Brett Zabel,brett.zabel@kestrel.com,Kestrel Engineering,Career Speaker,5,4,5,,The materials were clear.,,I had a lot of fun and I think the students got a lot out of it.,
